timestamp,latitude,longitude,id_indicator,sst_measurement_method,sea_surface_temp
2000-03-13 22:00:00 UTC,32.5,-79.1,3,1,19.7
2000-03-15 20:00:00 UTC,32.5,-79.1,3,1,19.5
2000-09-23 03:00:00 UTC,32.7,-79.6,1,3,25.3
1999-09-08 15:00:00 UTC,32.3,-79.1,1,3,27.4
1999-08-08 16:00:00 UTC,32.1,-79.7,1,3,30
1998-05-13 05:00:00 UTC,32.7,-79.7,1,3,21.5
1999-06-05 19:00:00 UTC,32.8,-79.9,1,3,25.9
1999-06-05 12:00:00 UTC,32.8,-79.9,1,3,26
1998-05-30 05:00:00 UTC,32.8,-79.9,1,3,26.7
2000-07-02 11:49:00 UTC,32.5,-79.1,3,,26.6
1999-08-14 02:49:00 UTC,32.5,-79.1,3,,29.7
2000-08-08 08:49:00 UTC,32.5,-79.1,3,,27.6
2000-03-23 17:49:00 UTC,32.5,-79.1,3,,21
1999-12-14 23:49:00 UTC,32.5,-79.1,3,,21.8
1999-06-19 08:49:00 UTC,32.5,-79.1,3,,25.7
2000-10-26 05:49:00 UTC,32.5,-79.1,3,,24.7
2000-05-20 05:49:00 UTC,32.5,-79.1,3,,23.7
2000-02-28 02:49:00 UTC,32.5,-79.1,3,,18.3
2000-02-28 17:49:00 UTC,32.5,-79.1,3,,21.3
1999-01-16 02:49:00 UTC,32.5,-79.1,3,,19.2
1999-01-14 17:49:00 UTC,32.5,-79.1,3,,20.7
2000-01-29 20:49:00 UTC,32.5,-79.1,3,,18.8
2000-05-10 20:49:00 UTC,32.5,-79.1,3,,22.8
2000-03-26 02:49:00 UTC,32.5,-79.1,3,,21
1999-06-13 17:49:00 UTC,32.5,-79.1,3,,25.7
1999-08-30 11:49:00 UTC,32.5,-79.1,3,,26.4
2000-06-20 02:49:00 UTC,32.5,-79.1,3,,27.2
1999-12-19 08:49:00 UTC,32.5,-79.1,3,,21.6
1995-12-06 23:49:00 UTC,32.5,-79.1,3,,22.2
1994-07-29 17:49:00 UTC,32.5,-79.1,3,,28.2
1992-08-04 21:13:00 UTC,32.5,-79.1,3,,27.7
1997-01-09 08:49:00 UTC,32.5,-79.1,3,,18.4
1996-08-30 08:49:00 UTC,32.5,-79.1,3,,27.4
1998-11-09 11:49:00 UTC,32.5,-79.1,3,,23.7
1993-10-01 17:49:00 UTC,32.5,-79.1,3,,26.1
1998-12-08 11:49:00 UTC,32.5,-79.1,3,,23
1999-01-10 11:49:00 UTC,32.5,-79.1,3,,20.4
1992-10-04 21:13:00 UTC,32.5,-79.1,3,,25.8
1999-01-25 11:49:00 UTC,32.5,-79.1,3,,20.3
1996-04-30 05:49:00 UTC,32.5,-79.1,3,,19.6
1994-11-10 02:49:00 UTC,32.5,-79.1,3,,25.1
1993-09-27 02:49:00 UTC,32.5,-79.1,3,,27.6
1996-08-01 20:49:00 UTC,32.5,-79.1,3,,27.7
1999-03-24 17:49:00 UTC,32.5,-79.1,3,,18.8
1995-09-18 23:49:00 UTC,32.5,-79.1,3,,26.9
1995-07-20 11:49:00 UTC,32.5,-79.1,3,,28.4
1999-01-07 23:49:00 UTC,32.5,-79.1,3,,20.4
1992-09-25 00:13:00 UTC,32.5,-79.1,3,,26.6
1996-06-26 23:49:00 UTC,32.5,-79.1,3,,27.4
1994-09-11 23:49:00 UTC,32.5,-79.1,3,,25.8
1993-02-28 00:13:00 UTC,32.5,-79.1,3,,21.2
1994-12-16 17:49:00 UTC,32.5,-79.1,3,,21.4
1995-04-23 14:49:00 UTC,32.5,-79.1,3,,21.5
1995-03-07 11:49:00 UTC,32.5,-79.1,3,,18.6
1995-02-28 05:49:00 UTC,32.5,-79.1,3,,16.8
1992-10-28 09:13:00 UTC,32.5,-79.1,3,,25.8
1992-12-19 09:13:00 UTC,32.5,-79.1,3,,20.6
1994-02-28 20:49:00 UTC,32.5,-79.1,3,,11.1
1994-01-18 05:49:00 UTC,32.5,-79.1,3,,14.5
1887-09-08 15:00:00 UTC,32.1,-79.69,10,,26.7
1943-06-20 16:00:00 UTC,32.8,-79.9,10,,27.8
1965-09-18 17:36:00 UTC,32.37,-79.25,6,11,26.5
1972-06-16 16:40:00 UTC,32.63,-79.63,6,11,23.7
1998-05-08 04:54:00 UTC,32.39,-80.06,6,12,20.3
1997-02-28 12:46:00 UTC,32.55,-79.6,,12,17.9
1998-11-10 12:40:00 UTC,32.4,-80.3,6,11,19.9
1999-02-28 18:58:00 UTC,32.22,-80.13,6,12,16.2
2000-06-06 17:00:00 UTC,32.5,-79.1,3,1,25
2000-10-19 22:00:00 UTC,32.5,-79.1,3,1,26.2
2000-09-21 05:00:00 UTC,32.5,-79.1,3,1,27.3
2000-05-06 22:00:00 UTC,32.5,-79.1,3,1,22.1
2000-06-07 12:00:00 UTC,32.5,-79.1,3,1,24.5
2000-05-26 17:00:00 UTC,32.5,-79.1,3,1,24.4
2000-07-05 04:00:00 UTC,32.5,-79.1,3,1,26.9
2000-04-24 23:00:00 UTC,32.5,-79.1,3,1,21.1
2000-11-11 09:00:00 UTC,32.5,-79.1,3,1,23.9
1858-04-15 20:00:00 UTC,32.6,-79.41,10,,20
1928-09-14 12:00:00 UTC,32.28,-79.28,10,,26.7
2000-08-07 11:00:00 UTC,32.5,-79.1,3,1,27.8
2000-10-14 19:00:00 UTC,32.5,-79.1,3,1,25.1
2000-09-23 23:00:00 UTC,32.5,-79.1,3,1,26.9
2000-04-17 10:00:00 UTC,32.5,-79.1,3,1,20.7
2000-04-18 20:00:00 UTC,32.5,-79.1,3,1,20.2
1935-04-26 12:00:00 UTC,32.6,-79.1,10,0,22.8
,32.7,-79.25,10,,11.7
2000-10-13 11:00:00 UTC,32.5,-79.1,3,1,24.9
2000-12-18 19:00:00 UTC,32.5,-79.1,3,1,21.6
2000-10-25 19:49:00 UTC,32.5,-79.1,3,1,24.9
2000-04-18 04:00:00 UTC,32.5,-79.1,3,1,20.6
2000-02-28 20:00:00 UTC,32.5,-79.1,3,1,21.6
2000-11-08 20:00:00 UTC,32.5,-79.1,3,1,25.4
2000-06-23 22:00:00 UTC,32.5,-79.1,3,1,27.7
2000-07-15 00:00:00 UTC,32.5,-79.1,3,1,28
2000-02-28 06:00:00 UTC,32.5,-79.1,3,1,18.9
2000-08-09 10:00:00 UTC,32.5,-79.1,3,1,27.6
2000-11-01 10:00:00 UTC,32.5,-79.1,3,1,23.6
1940-01-18 21:00:00 UTC,32.5,-80.5,,,12.2
2000-12-19 10:00:00 UTC,32.5,-79.1,3,1,21.5
1945-03-21 15:00:00 UTC,32.5,-80.5,,,21.1
1938-11-03 12:00:00 UTC,32.5,-79.1,10,1,22.2
2000-09-14 12:00:00 UTC,32.5,-79.1,3,1,28.2
2000-07-01 02:00:00 UTC,32.5,-79.1,3,1,26.9
2000-10-08 22:00:00 UTC,32.5,-79.1,3,1,26.4
2000-08-01 07:00:00 UTC,32.5,-79.1,3,1,27.7
1950-07-18 19:00:00 UTC,32.5,-80.5,,,26.7
2000-09-07 14:00:00 UTC,32.5,-79.1,3,1,27
2000-04-13 10:00:00 UTC,32.5,-79.1,3,1,20.1
2000-12-23 13:00:00 UTC,32.5,-79.1,3,1,20.8
2000-06-01 08:00:00 UTC,32.5,-79.1,3,1,23.9
2000-10-01 11:00:00 UTC,32.5,-79.1,3,1,25.4
1963-09-02 00:00:00 UTC,32.2,-80,9,,28.1
1949-09-19 12:00:00 UTC,33.5,-79.5,,,25.6
2000-01-01 10:00:00 UTC,32.5,-79.1,3,1,20.8
2000-06-25 19:00:00 UTC,32.5,-79.1,3,1,27.4
2000-12-13 21:00:00 UTC,32.5,-79.1,3,1,21.1
1954-12-01 01:04:00 UTC,32.42,-79.83,6,11,16.3
1951-05-03 14:03:00 UTC,32.65,-79.7,6,11,23.6
1965-11-11 02:52:00 UTC,32.1,-79.2,6,11,25.3
1949-05-11 22:00:00 UTC,32.47,-79.12,6,11,24.4
1995-03-23 08:49:00 UTC,32.5,-79.1,3,,20.7
1992-11-02 00:13:00 UTC,32.5,-79.1,3,,25.8
1994-01-14 08:49:00 UTC,32.5,-79.1,3,,17.3
1995-05-12 08:49:00 UTC,32.5,-79.1,3,,22.9
1995-07-16 02:49:00 UTC,32.5,-79.1,3,,28.9
1994-01-20 08:49:00 UTC,32.5,-79.1,3,,13.2
1995-05-30 11:49:00 UTC,32.5,-79.1,3,,24.5
1995-04-14 14:49:00 UTC,32.5,-79.1,3,,21.4
1994-10-20 14:49:00 UTC,32.5,-79.1,3,,23.5
1995-07-12 14:49:00 UTC,32.5,-79.1,3,,28.4
1995-01-22 11:49:00 UTC,32.5,-79.1,3,,19.6
1995-03-09 20:49:00 UTC,32.5,-79.1,3,,16.8
1994-12-31 20:49:00 UTC,32.5,-79.1,3,,21.5
1995-03-29 17:49:00 UTC,32.5,-79.1,3,,19.9
1994-12-16 08:49:00 UTC,32.5,-79.1,3,,21.5
1995-06-15 08:49:00 UTC,32.5,-79.1,3,,25.3
1995-04-21 20:49:00 UTC,32.5,-79.1,3,,21.9
1995-04-03 08:49:00 UTC,32.5,-79.1,3,,19.9
1950-09-18 06:00:00 UTC,32.7,-79.5,,,26.7
1977-04-15 06:00:00 UTC,32.2,-79.8,1,,25
1976-06-21 00:00:00 UTC,32.5,-79.2,1,,22.8
1975-01-20 18:00:00 UTC,32.5,-79.5,1,,13.3
1986-07-12 03:00:00 UTC,32.1,-79.1,1,,30
1984-05-09 06:00:00 UTC,32.2,-79.3,1,,21.6
1989-09-25 00:00:00 UTC,32.6,-79.4,1,,26.1
1980-11-12 06:00:00 UTC,32.4,-79.3,1,9,21.1
1975-03-27 00:00:00 UTC,32.2,-79.6,2,,19.4
1985-07-10 18:00:00 UTC,32.3,-79.2,1,,29.4
1985-04-17 18:00:00 UTC,32.1,-79.2,1,,23.3
1995-04-26 15:00:00 UTC,32.7,-79.7,1,1,20.5
1997-05-12 00:00:00 UTC,32.9,-80,1,,21.4
1993-04-27 12:00:00 UTC,32.7,-79.7,1,,16
1967-08-02 09:00:00 UTC,32.4,-79.7,,,27
1972-01-05 00:00:00 UTC,32.2,-79.4,,9,22.5
1995-05-22 18:00:00 UTC,32.8,-79.9,1,1,25.6
1995-12-27 03:00:00 UTC,32.4,-79.6,1,1,14.6
1997-07-22 17:00:00 UTC,32.8,-79.9,1,0,28.8
1985-04-10 06:00:00 UTC,32.2,-79.3,1,0,19
1996-02-28 02:00:00 UTC,32.8,-79.9,1,,9.1
1997-05-17 15:00:00 UTC,32.8,-79.9,1,7,21.6
1996-06-08 12:00:00 UTC,32.8,-79.9,1,1,26.1
1995-09-03 02:00:00 UTC,32.8,-79.9,1,1,28.8
1999-01-19 09:00:00 UTC,32.7,-79.5,1,3,14.2
2000-10-06 22:00:00 UTC,32.7,-79.7,1,,24.6
1995-07-10 06:00:00 UTC,32.3,-79.3,1,7,28
1996-03-26 10:00:00 UTC,32.7,-79.8,1,1,13.1
1996-05-04 12:00:00 UTC,32.8,-79.9,1,1,21.6
2000-12-20 16:00:00 UTC,32.8,-79.9,1,4,10.9
1998-07-11 02:00:00 UTC,32.8,-79.9,1,3,29.3
1997-01-13 06:00:00 UTC,32.1,-80,1,,17.2
1992-07-12 00:00:00 UTC,32.1,-79.2,1,1,27.2
1988-09-12 21:00:00 UTC,32.6,-79.7,1,0,26.2
1981-08-15 18:00:00 UTC,32.1,-79.2,1,9,30
1976-07-13 06:00:00 UTC,32.1,-79.2,1,,26.7
1989-12-27 12:00:00 UTC,32.1,-79.7,1,1,17.6
1988-09-15 06:00:00 UTC,32.3,-79.3,1,,26.2
1983-12-03 06:00:00 UTC,32.4,-79.3,1,,21.1
1936-11-04 09:00:00 UTC,32.5,-79.5,10,10,24
1928-09-07 12:00:00 UTC,32.78,-79.07,10,,27.8
1923-04-10 12:00:00 UTC,32.23,-79.28,10,,22.2
1917-07-26 12:00:00 UTC,32.67,-79.52,10,,27.2
